task,condition_id,episode_key,episode_success,episode_failure,num_valid_steps,epsilon,num_eligible_adjacent_pairs,num_amplitude_turns,amplitude_thresholded_turning_rate,amplitude_thresholded_turning_rate_all_pairs,prominent_peak_count,prominent_peak_rate_per10,median_inter_peak_interval
open_drawer,0,open_drawer/condition_0000,0,1,112,0.05,20,17,0.85,0.15454545454545454,20,1.7857142857142858,4.0
open_drawer,1,open_drawer/condition_0001,1,0,22,0.05,17,12,0.7058823529411765,0.6,6,2.727272727272727,2.0
open_drawer,2,open_drawer/condition_0002,0,1,112,0.05,41,28,0.6829268292682927,0.2545454545454545,23,2.0535714285714284,3.5
open_drawer,3,open_drawer/condition_0003,1,0,17,0.05,9,7,0.7777777777777778,0.4666666666666667,5,2.9411764705882355,2.5
open_drawer,4,open_drawer/condition_0004,1,0,20,0.05,9,7,0.7777777777777778,0.3888888888888889,4,2.0,2.0
open_drawer,5,open_drawer/condition_0005,1,0,34,0.05,19,12,0.631578947368421,0.375,8,2.3529411764705883,3.0
open_drawer,6,open_drawer/condition_0006,1,0,28,0.05,20,13,0.65,0.5,7,2.5,3.0
open_drawer,7,open_drawer/condition_0007,0,1,112,0.05,33,25,0.7575757575757576,0.22727272727272727,21,1.875,4.0
open_drawer,8,open_drawer/condition_0008,0,1,112,0.05,37,28,0.7567567567567568,0.2545454545454545,23,2.0535714285714284,4.0
open_drawer,9,open_drawer/condition_0009,0,1,112,0.05,42,30,0.7142857142857143,0.2727272727272727,24,2.142857142857143,4.0
open_drawer,10,open_drawer/condition_0010,0,1,112,0.05,40,25,0.625,0.22727272727272727,22,1.9642857142857142,4.0
open_drawer,11,open_drawer/condition_0011,0,1,112,0.05,46,38,0.8260869565217391,0.34545454545454546,29,2.5892857142857144,3.0
open_drawer,12,open_drawer/condition_0012,1,0,32,0.05,16,12,0.75,0.4,8,2.5,2.0
open_drawer,13,open_drawer/condition_0013,1,0,31,0.05,13,7,0.5384615384615384,0.2413793103448276,7,2.258064516129032,4.0
open_drawer,14,open_drawer/condition_0014,1,0,75,0.05,51,36,0.7058823529411765,0.4931506849315068,21,2.8000000000000003,3.0
open_drawer,15,open_drawer/condition_0015,1,0,36,0.05,17,12,0.7058823529411765,0.35294117647058826,9,2.5,4.0
open_drawer,16,open_drawer/condition_0016,1,0,29,0.05,14,11,0.7857142857142857,0.4074074074074074,7,2.413793103448276,3.5
open_drawer,17,open_drawer/condition_0017,1,0,39,0.05,16,10,0.625,0.2702702702702703,9,2.307692307692308,4.5
open_drawer,18,open_drawer/condition_0018,0,1,112,0.05,55,45,0.8181818181818182,0.4090909090909091,34,3.0357142857142856,3.0
open_drawer,19,open_drawer/condition_0019,1,0,37,0.05,25,17,0.68,0.4857142857142857,11,2.9729729729729732,3.5
