task,condition_id,episode_key,episode_success,episode_failure,num_valid_steps,episode_median,low_ratio_threshold,low_ratio_fraction,median_rule_failure,low_fraction_rule_failure,median_rule_correct,low_fraction_rule_correct
open_drawer,0,open_drawer/condition_0000,0,1,112,0.05,0.1,0.7053571428571429,1,1,1,1
open_drawer,1,open_drawer/condition_0001,1,0,22,0.38,0.1,0.0,0,0,1,1
open_drawer,2,open_drawer/condition_0002,0,1,112,0.10500000000000001,0.1,0.48214285714285715,1,1,1,1
open_drawer,3,open_drawer/condition_0003,1,0,17,0.48,0.1,0.0,0,0,1,1
open_drawer,4,open_drawer/condition_0004,1,0,20,0.38,0.1,0.05,0,0,1,1
open_drawer,5,open_drawer/condition_0005,1,0,34,0.325,0.1,0.11764705882352941,0,0,1,1
open_drawer,6,open_drawer/condition_0006,1,0,28,0.385,0.1,0.0,0,0,1,1
open_drawer,7,open_drawer/condition_0007,0,1,112,0.05,0.1,0.5625,1,1,1,1
open_drawer,8,open_drawer/condition_0008,0,1,112,0.16,0.1,0.4107142857142857,1,1,1,1
open_drawer,9,open_drawer/condition_0009,0,1,112,0.13,0.1,0.3392857142857143,1,1,1,1
open_drawer,10,open_drawer/condition_0010,0,1,112,0.13,0.1,0.39285714285714285,1,1,1,1
open_drawer,11,open_drawer/condition_0011,0,1,112,0.185,0.1,0.16071428571428573,1,1,1,1
open_drawer,12,open_drawer/condition_0012,1,0,32,0.39,0.1,0.03125,0,0,1,1
open_drawer,13,open_drawer/condition_0013,1,0,31,0.33,0.1,0.03225806451612903,0,0,1,1
open_drawer,14,open_drawer/condition_0014,1,0,75,0.36,0.1,0.05333333333333334,0,0,1,1
open_drawer,15,open_drawer/condition_0015,1,0,36,0.33,0.1,0.027777777777777776,0,0,1,1
open_drawer,16,open_drawer/condition_0016,1,0,29,0.34,0.1,0.034482758620689655,0,0,1,1
open_drawer,17,open_drawer/condition_0017,1,0,39,0.38,0.1,0.05128205128205128,0,0,1,1
open_drawer,18,open_drawer/condition_0018,0,1,112,0.19,0.1,0.3125,1,1,1,1
open_drawer,19,open_drawer/condition_0019,1,0,37,0.27,0.1,0.0,0,0,1,1
