task,episode_key,condition_id,success,failure,num_steps,max_progress,automatic_t_onset,automatic_onset_frac,rule_W,rule_eps,rule_min_start
open_drawer,open_drawer/condition_0000,0,0,1,113,0.8046652376651764,22,0.19469026548672566,10,0.02,20
open_drawer,open_drawer/condition_0001,1,1,0,23,1.0,,,10,0.02,20
open_drawer,open_drawer/condition_0002,2,0,1,113,0.8086395263671875,96,0.8495575221238938,10,0.02,20
open_drawer,open_drawer/condition_0003,3,1,0,18,1.0,,,10,0.02,20
open_drawer,open_drawer/condition_0004,4,1,0,21,1.0,,,10,0.02,20
open_drawer,open_drawer/condition_0005,5,1,0,35,1.0,,,10,0.02,20
open_drawer,open_drawer/condition_0006,6,1,0,29,1.0,,,10,0.02,20
open_drawer,open_drawer/condition_0007,7,0,1,113,2.1971537725780834e-13,20,0.17699115044247787,10,0.02,20
open_drawer,open_drawer/condition_0008,8,0,1,113,8.339695600767525e-10,20,0.17699115044247787,10,0.02,20
open_drawer,open_drawer/condition_0009,9,0,1,113,0.165321317811807,46,0.40707964601769914,10,0.02,20
open_drawer,open_drawer/condition_0010,10,0,1,113,0.4154618581136068,48,0.4247787610619469,10,0.02,20
open_drawer,open_drawer/condition_0011,11,0,1,113,2.613148955034339e-12,20,0.17699115044247787,10,0.02,20
open_drawer,open_drawer/condition_0012,12,1,0,33,1.0,,,10,0.02,20
open_drawer,open_drawer/condition_0013,13,1,0,32,1.0,,,10,0.02,20
open_drawer,open_drawer/condition_0014,14,1,0,76,1.0,,,10,0.02,20
open_drawer,open_drawer/condition_0015,15,1,0,37,1.0,,,10,0.02,20
open_drawer,open_drawer/condition_0016,16,1,0,30,1.0,,,10,0.02,20
open_drawer,open_drawer/condition_0017,17,1,0,40,1.0,,,10,0.02,20
open_drawer,open_drawer/condition_0018,18,0,1,113,2.6848927811920498e-12,20,0.17699115044247787,10,0.02,20
open_drawer,open_drawer/condition_0019,19,1,0,38,1.0,,,10,0.02,20
